Player_Name,Club,Position,Total Goals,Total Assists,Penalties,Match_Played,Season,Competition
Szczęsny,Juventus,Goalkeeper,0,0,0,7,2021-2022,UCL
De Gea,Man. United,Goalkeeper,0,0,0,7,2021-2022,UCL
Berghuis,Ajax,Forward,3,1,0,8,2021-2022,UCL
De Ligt,Juventus,Defender,0,0,0,7,2021-2022,UCL
Núñez,Benfica,Forward,6,0,1,10,2021-2022,UCL
Matheus Reis,Sporting CP,Defender,0,0,0,8,2021-2022,UCL
Ronaldo,Man. United,Forward,6,0,0,7,2021-2022,UCL
Adeyemi,Salzburg,Forward,3,1,2,8,2021-2022,UCL
Christensen,Chelsea,Defender,1,1,0,8,2021-2022,UCL
Zeki Çelik,LOSC,Defender,0,1,0,7,2021-2022,UCL
Martínez,Inter,Forward,1,0,0,8,2021-2022,UCL
Giménez,Atlético,Defender,0,0,0,7,2021-2022,UCL
Paulinho,Sporting CP,Forward,3,1,0,8,2021-2022,UCL
Sterling,Man. City,Forward,3,2,0,12,2021-2022,UCL
Nuno Mendes,Paris,Defender,0,0,0,8,2021-2022,UCL
Bonucci,Juventus,Defender,0,0,0,7,2021-2022,UCL
Kondogbia,Atlético,Midfielder,0,0,0,9,2021-2022,UCL
De Paul,Atlético,Midfielder,1,0,0,9,2021-2022,UCL
Antony,Ajax,Forward,2,5,0,7,2021-2022,UCL
Walker,Man. City,Defender,1,0,0,7,2021-2022,UCL
João Félix,Atlético,Forward,1,1,0,8,2021-2022,UCL
Wöber,Salzburg,Defender,1,0,0,7,2021-2022,UCL
Blind,Ajax,Defender,1,1,0,8,2021-2022,UCL
L. Hernández,Bayern,Defender,0,0,0,8,2021-2022,UCL
J. Timber,Ajax,Midfielder,0,0,0,8,2021-2022,UCL
Jorginho,Chelsea,Midfielder,2,2,2,8,2021-2022,UCL
Gonçalo Inácio,Sporting CP,Defender,0,1,0,7,2021-2022,UCL
Álvarez,Ajax,Midfielder,0,0,0,7,2021-2022,UCL
Alex Sandro,Juventus,Defender,1,0,0,7,2021-2022,UCL
Alonso,Chelsea,Defender,0,0,0,8,2021-2022,UCL
Everton,Benfica,Forward,0,0,0,9,2021-2022,UCL
Džeko,Inter,Forward,3,1,0,7,2021-2022,UCL
Vanaken,Club Brugge,Midfielder,3,1,0,6,2021-2022,UCL
S. Thill,Sheriff,Midfielder,2,1,0,6,2021-2022,UCL
Coates,Sporting CP,Defender,2,0,0,6,2021-2022,UCL
Arnold,Wolfsburg,Midfielder,0,3,0,6,2021-2022,UCL
Cristiano,Sheriff,Defender,0,3,0,6,2021-2022,UCL
Zabarnyi,Dynamo Kyiv,Defender,0,0,0,6,2021-2022,UCL
Fernando,Sevilla,Midfielder,0,0,0,6,2021-2022,UCL
Fernando Costanza,Sheriff,Defender,0,0,0,6,2021-2022,UCL
Dodô,Shakhtar Donetsk,Defender,0,0,0,6,2021-2022,UCL
Barrios,Zenit,Midfielder,0,0,0,6,2021-2022,UCL
Lacroix,Wolfsburg,Defender,0,0,0,6,2021-2022,UCL
Hendry,Club Brugge,Defender,0,0,0,6,2021-2022,UCL
Arboleda,Sheriff,Defender,0,0,0,6,2021-2022,UCL
Dulanto,Sheriff,Defender,0,0,0,6,2021-2022,UCL
Bounou,Sevilla,Goalkeeper,0,0,0,6,2021-2022,UCL
Kobel,Dortmund,Goalkeeper,0,0,0,6,2021-2022,UCL
Mignolet,Club Brugge,Goalkeeper,0,0,0,6,2021-2022,UCL
Musso,Atalanta,Goalkeeper,0,0,0,6,2021-2022,UCL
Pasveer,Ajax,Goalkeeper,0,0,0,6,2021-2022,UCL
Grbić,LOSC,Goalkeeper,0,0,0,6,2021-2022,UCL
Diogo Costa,Porto,Goalkeeper,0,0,0,6,2021-2022,UCL
Ter Stegen,Barcelona,Goalkeeper,0,0,0,6,2021-2022,UCL
Locatelli,Juventus,Midfielder,0,0,0,7,2021-2022,UCL
Diego Carlos,Sevilla,Defender,0,0,0,6,2021-2022,UCL
Mount,Chelsea,Midfielder,1,2,0,7,2021-2022,UCL
Rabiot,Juventus,Midfielder,0,0,0,7,2021-2022,UCL
Sydorchuk,Dynamo Kyiv,Midfielder,0,0,0,6,2021-2022,UCL
Maguire,Man. United,Defender,1,0,0,6,2021-2022,UCL
João Palhinha,Sporting CP,Midfielder,0,0,0,6,2021-2022,UCL
Tiago Djaló,LOSC,Defender,0,0,0,7,2021-2022,UCL
Moumi Ngamaleu,Young Boys,Midfielder,1,1,0,6,2021-2022,UCL
Perišić,Inter,Midfielder,0,1,0,8,2021-2022,UCL
Nkunku,Leipzig,Midfielder,7,0,0,6,2021-2022,UCL
Traore,Sheriff,Midfielder,2,1,0,6,2021-2022,UCL
Burak Yılmaz,LOSC,Forward,3,0,1,7,2021-2022,UCL
Pedro Porro,Sporting CP,Defender,1,0,0,7,2021-2022,UCL
Lang,Club Brugge,Forward,0,1,0,6,2021-2022,UCL
Clinton Mata,Club Brugge,Defender,0,0,0,6,2021-2022,UCL
Freuler,Atalanta,Midfielder,1,1,0,6,2021-2022,UCL
Depay,Barcelona,Forward,0,0,0,6,2021-2022,UCL
Gerard Moreno,Villarreal,Forward,2,4,1,7,2021-2022,UCL
Lo Celso,Villarreal,Midfielder,0,0,0,6,2021-2022,UCL
F. de Jong,Barcelona,Midfielder,0,0,0,6,2021-2022,UCL
Morata,Juventus,Forward,2,0,0,7,2021-2022,UCL
Bruno Fernandes,Man. United,Midfielder,0,7,0,7,2021-2022,UCL
Griezmann,Atlético,Forward,4,2,0,9,2021-2022,UCL
Sučić,Salzburg,Midfielder,1,0,1,8,2021-2022,UCL
Süle,Bayern,Defender,0,0,0,7,2021-2022,UCL
Yaremchuk,Benfica,Forward,3,0,0,10,2021-2022,UCL
Sarabia,Sporting CP,Forward,2,0,1,8,2021-2022,UCL
Matheus Nunes,Sporting CP,Midfielder,0,2,0,6,2021-2022,UCL
James,Chelsea,Defender,1,0,0,6,2021-2022,UCL
Aebischer,Young Boys,Midfielder,0,1,0,6,2021-2022,UCL
Bellingham,Dortmund,Midfielder,1,3,0,6,2021-2022,UCL
Zinchenko,Man. City,Defender,0,1,0,8,2021-2022,UCL
De Ketelaere,Club Brugge,Forward,0,1,0,6,2021-2022,UCL
Čolak,Malmö,Forward,0,0,0,6,2021-2022,UCL
Reus,Dortmund,Midfielder,3,1,2,6,2021-2022,UCL
Rakitskyy,Zenit,Defender,1,2,1,6,2021-2022,UCL
Barella,Inter,Midfielder,0,0,0,6,2021-2022,UCL
Innocent,Malmö,Midfielder,0,0,0,6,2021-2022,UCL
Taremi,Porto,Forward,1,1,0,6,2021-2022,UCL
João Mário,Benfica,Midfielder,0,4,0,8,2021-2022,UCL
Addo,Sheriff,Midfielder,0,0,0,6,2021-2022,UCL
Tsygankov,Dynamo Kyiv,Midfielder,0,1,0,6,2021-2022,UCL
Elia,Young Boys,Forward,1,0,0,6,2021-2022,UCL
De Vrij,Inter,Defender,1,0,0,6,2021-2022,UCL
Sergio Busquets,Barcelona,Midfielder,0,0,0,6,2021-2022,UCL
Shaparenko,Dynamo Kyiv,Midfielder,0,0,0,6,2021-2022,UCL
Mukiele,Leipzig,Defender,1,1,0,6,2021-2022,UCL
Wendel,Zenit,Midfielder,1,0,0,6,2021-2022,UCL
Meunier,Dortmund,Defender,0,1,0,6,2021-2022,UCL
De Roon,Atalanta,Midfielder,0,0,0,6,2021-2022,UCL
Nsoki,Club Brugge,Defender,0,0,0,6,2021-2022,UCL
Renan Lodi,Atlético,Defender,1,2,0,10,2021-2022,UCL
Davies,Bayern,Midfielder,0,2,0,7,2021-2022,UCL
Maycon,Shakhtar Donetsk,Midfielder,0,0,0,6,2021-2022,UCL
Carrasco,Atlético,Forward,0,0,0,7,2021-2022,UCL
Cuadrado,Juventus,Midfielder,0,0,0,7,2021-2022,UCL
Felipe,Atlético,Defender,0,0,0,7,2021-2022,UCL
Witsel,Dortmund,Midfielder,0,0,0,6,2021-2022,UCL
Neymar,Paris,Forward,0,1,0,6,2021-2022,UCL
Bamba,LOSC,Forward,0,0,0,6,2021-2022,UCL
Dumfries,Inter,Defender,0,1,0,7,2021-2022,UCL
Goretzka,Bayern,Midfielder,0,0,0,6,2021-2022,UCL
Zapata,Atalanta,Forward,3,3,0,6,2021-2022,UCL
Coquelin,Villarreal,Midfielder,1,0,0,8,2021-2022,UCL
Ocampos,Sevilla,Midfielder,1,1,0,6,2021-2022,UCL
Lauper,Young Boys,Midfielder,0,0,0,6,2021-2022,UCL
Grealish,Man. City,Midfielder,1,1,0,7,2021-2022,UCL
Claudinho,Zenit,Midfielder,2,0,0,6,2021-2022,UCL
Otávio,Porto,Midfielder,0,0,0,6,2021-2022,UCL
Feddal,Sporting CP,Defender,0,0,0,6,2021-2022,UCL
Palomino,Atalanta,Defender,1,1,0,5,2021-2022,UCL
T. Hernández,Milan,Defender,0,1,0,5,2021-2022,UCL
Danilo,Juventus,Defender,0,1,0,5,2021-2022,UCL
Mykolenko,Dynamo Kyiv,Defender,0,0,0,5,2021-2022,UCL
Syrota,Dynamo Kyiv,Defender,0,0,0,5,2021-2022,UCL
Koundé,Sevilla,Defender,0,0,0,5,2021-2022,UCL
Savić,Atlético,Defender,0,0,0,5,2021-2022,UCL
Akanji,Dortmund,Defender,0,0,0,5,2021-2022,UCL
L. Nielsen,Malmö,Defender,0,0,0,5,2021-2022,UCL
Marlon,Shakhtar Donetsk,Defender,0,0,0,5,2021-2022,UCL
Mbemba,Porto,Defender,0,0,0,5,2021-2022,UCL
Casteels,Wolfsburg,Goalkeeper,0,0,0,5,2021-2022,UCL
Ersin Destanoğlu,Beşiktaş,Goalkeeper,0,0,0,5,2021-2022,UCL
Donnarumma,Paris,Goalkeeper,0,0,0,5,2021-2022,UCL
Gulácsi,Leipzig,Goalkeeper,0,0,0,5,2021-2022,UCL
Bushchan,Dynamo Kyiv,Goalkeeper,0,0,0,5,2021-2022,UCL
Athanasiadis,Sheriff,Goalkeeper,0,0,0,5,2021-2022,UCL
Musiala,Bayern,Midfielder,1,1,0,8,2021-2022,UCL
Brorsson,Malmö,Defender,0,0,0,5,2021-2022,UCL
Ziyech,Chelsea,Midfielder,1,2,0,9,2021-2022,UCL
Saelemaekers,Milan,Midfielder,0,0,0,6,2021-2022,UCL
Douglas Santos,Zenit,Defender,0,2,0,5,2021-2022,UCL
Chistiakov,Zenit,Defender,0,0,0,5,2021-2022,UCL
Souza,Beşiktaş,Midfielder,0,0,0,5,2021-2022,UCL
Berget,Malmö,Midfielder,0,0,0,5,2021-2022,UCL
Onguéné,Salzburg,Defender,0,0,0,5,2021-2022,UCL
Buyalskiy,Dynamo Kyiv,Midfielder,0,0,0,5,2021-2022,UCL
Xeka,LOSC,Midfielder,0,0,0,7,2021-2022,UCL
Mæhle,Atalanta,Defender,0,1,0,5,2021-2022,UCL
Garcia,Young Boys,Defender,0,0,0,5,2021-2022,UCL
Malcom,Zenit,Forward,0,1,0,6,2021-2022,UCL
Fred,Man. United,Midfielder,0,0,0,6,2021-2022,UCL
Angeliño,Leipzig,Defender,0,3,0,5,2021-2022,UCL
Pedraza,Villarreal,Midfielder,0,1,0,10,2021-2022,UCL
Pino,Villarreal,Forward,1,0,0,7,2021-2022,UCL
Verratti,Paris,Midfielder,0,0,0,5,2021-2022,UCL
Guilavogui,Wolfsburg,Midfielder,0,0,0,5,2021-2022,UCL
Kanté,Chelsea,Midfielder,0,1,0,6,2021-2022,UCL
Kovačić,Chelsea,Midfielder,0,0,0,6,2021-2022,UCL
Lindelöf,Man. United,Defender,0,0,0,5,2021-2022,UCL
Hermoso,Atlético,Defender,0,0,0,6,2021-2022,UCL
C. Martins Pereira,Young Boys,Midfielder,0,0,0,5,2021-2022,UCL
Hakan Çalhanoğlu,Inter,Midfielder,0,0,0,6,2021-2022,UCL
Wan0Bissaka,Man. United,Defender,0,0,0,6,2021-2022,UCL
Tomori,Milan,Defender,1,0,0,5,2021-2022,UCL
Botman,LOSC,Defender,0,0,0,5,2021-2022,UCL
Rits,Club Brugge,Midfielder,2,0,0,6,2021-2022,UCL
Baku,Wolfsburg,Midfielder,1,0,0,6,2021-2022,UCL
Ahmedhodžić,Malmö,Defender,0,0,0,5,2021-2022,UCL
André Silva,Leipzig,Forward,3,2,0,6,2021-2022,UCL
Vidal,Inter,Midfielder,1,2,0,7,2021-2022,UCL
Balanta,Club Brugge,Midfielder,0,0,0,5,2021-2022,UCL
Renato Sanches,LOSC,Midfielder,0,0,0,5,2021-2022,UCL
Zappacosta,Atalanta,Defender,0,1,0,6,2021-2022,UCL
Laimer,Leipzig,Midfielder,0,1,0,6,2021-2022,UCL
Kolovos,Sheriff,Midfielder,0,0,0,6,2021-2022,UCL
Rosier,Beşiktaş,Defender,0,0,0,5,2021-2022,UCL
Correa,Atlético,Forward,1,0,0,10,2021-2022,UCL
Gueye,Paris,Midfielder,1,0,0,7,2021-2022,UCL
McTominay,Man. United,Midfielder,0,0,0,5,2021-2022,UCL
Gavi,Barcelona,Midfielder,0,0,0,6,2021-2022,UCL
Weghorst,Wolfsburg,Forward,0,0,0,5,2021-2022,UCL
Shaw,Man. United,Defender,0,2,0,5,2021-2022,UCL
Brandt,Dortmund,Midfielder,0,0,0,5,2021-2022,UCL
Sancho,Man. United,Midfielder,1,0,0,7,2021-2022,UCL
Piqué,Barcelona,Defender,1,0,0,5,2021-2022,UCL
Malen,Dortmund,Forward,3,0,0,6,2021-2022,UCL
Romagnoli,Milan,Defender,0,0,0,5,2021-2022,UCL
Gnabry,Bayern,Forward,3,2,0,8,2021-2022,UCL
Zaidu,Porto,Defender,0,0,0,6,2021-2022,UCL
McKennie,Juventus,Midfielder,0,0,0,6,2021-2022,UCL
Hefti,Young Boys,Defender,1,1,0,6,2021-2022,UCL
Forsberg,Leipzig,Forward,2,2,1,6,2021-2022,UCL
Batshuayi,Beşiktaş,Forward,0,0,0,5,2021-2022,UCL
Bentancur,Juventus,Midfielder,0,1,0,5,2021-2022,UCL
Ricardo Esgaio,Sporting CP,Defender,0,2,0,8,2021-2022,UCL
Acuña,Sevilla,Defender,0,0,0,5,2021-2022,UCL
Lemar,Atlético,Midfielder,0,1,0,8,2021-2022,UCL
Bennacer,Milan,Midfielder,0,0,0,6,2021-2022,UCL
De Pena,Dynamo Kyiv,Midfielder,0,0,0,6,2021-2022,UCL
Jordi Alba,Barcelona,Defender,0,1,0,5,2021-2022,UCL
Tetê,Shakhtar Donetsk,Forward,0,0,0,6,2021-2022,UCL
Demiral,Atalanta,Defender,1,0,0,6,2021-2022,UCL
Gonçalo Ramos,Benfica,Forward,1,1,0,7,2021-2022,UCL
Luís Neto,Sporting CP,Defender,0,0,0,6,2021-2022,UCL
Pulišić,Chelsea,Midfielder,2,1,0,7,2021-2022,UCL
Ronald Araújo,Barcelona,Defender,0,0,0,5,2021-2022,UCL
Kędziora,Dynamo Kyiv,Defender,0,0,0,5,2021-2022,UCL
Danilo,Paris,Midfielder,0,0,0,7,2021-2022,UCL
Roussillon,Wolfsburg,Defender,0,0,0,6,2021-2022,UCL
Tolói,Atalanta,Defender,0,0,0,4,2021-2022,UCL
Matviyenko,Shakhtar Donetsk,Defender,0,0,0,4,2021-2022,UCL
Kritsyuk,Zenit,Goalkeeper,0,0,0,4,2021-2022,UCL
Loftus0Cheek,Chelsea,Forward,0,1,0,8,2021-2022,UCL
Hummels,Dortmund,Defender,0,0,0,5,2021-2022,UCL
Castañeda,Sheriff,Midfielder,0,0,0,5,2021-2022,UCL
Klostermann,Leipzig,Defender,0,0,0,5,2021-2022,UCL
Birmančević,Malmö,Midfielder,0,1,0,6,2021-2022,UCL
Ismaily,Shakhtar Donetsk,Defender,0,0,0,5,2021-2022,UCL
Larin,Beşiktaş,Forward,1,0,0,5,2021-2022,UCL
Varane,Man. United,Defender,0,0,0,5,2021-2022,UCL
Jesus,Man. City,Forward,4,1,0,8,2021-2022,UCL
Brahim Díaz,Milan,Midfielder,1,1,0,5,2021-2022,UCL
João Mário,Porto,Forward,0,0,0,4,2021-2022,UCL
Fernando,Shakhtar Donetsk,Midfielder,2,0,0,5,2021-2022,UCL
Pepe,Porto,Defender,0,0,0,5,2021-2022,UCL
Fernandinho,Man. City,Midfielder,0,2,0,8,2021-2022,UCL
Luis Suárez,Atlético,Forward,1,0,1,7,2021-2022,UCL
Pogba,Man. United,Midfielder,0,0,0,6,2021-2022,UCL
Camara,Young Boys,Defender,0,0,0,4,2021-2022,UCL
Okafor,Salzburg,Midfielder,3,0,0,6,2021-2022,UCL
Ghezzal,Beşiktaş,Midfielder,1,0,1,5,2021-2022,UCL
Lenglet,Barcelona,Defender,0,0,0,4,2021-2022,UCL
Taarabt,Benfica,Midfielder,0,0,0,9,2021-2022,UCL
Pedrinho,Shakhtar Donetsk,Midfielder,0,0,0,4,2021-2022,UCL
Siebatcheu,Young Boys,Forward,2,0,0,6,2021-2022,UCL
Vranckx,Wolfsburg,Midfielder,0,0,0,4,2021-2022,UCL
Chiesa,Juventus,Forward,2,0,0,4,2021-2022,UCL
Gvardiol,Leipzig,Defender,0,0,0,6,2021-2022,UCL
Tonali,Milan,Midfielder,0,0,0,6,2021-2022,UCL
Jesús Navas,Sevilla,Defender,0,0,0,4,2021-2022,UCL
Sobol,Club Brugge,Defender,0,1,0,4,2021-2022,UCL
Brooks,Wolfsburg,Defender,0,0,0,4,2021-2022,UCL
Trigueros,Villarreal,Midfielder,1,0,0,9,2021-2022,UCL
Pedro Gonçalves,Sporting CP,Midfielder,4,2,1,5,2021-2022,UCL
Mbabu,Wolfsburg,Defender,0,0,0,6,2021-2022,UCL
Solet,Salzburg,Defender,0,0,0,5,2021-2022,UCL
